Substrates,Allylic Substrates,Catalysts,Yield,ee
N1,E1,L1,92,97
N1,E1,L2,90,98
N1,E2,L1,90,97
N1,E3,L1,84,95
N1,E4,L1,92,97
N1,E5,L1,90,97
N1,E6,L1,93,80
N1,E6,L2,97,92
N1,E7,L1,90,96
N1,E8,L1,90,94
N2,E1,L1,92,86
N2,E1,L2,94,96
N3,E1,L1,41,94
N3,E1,L2,81,97
N3,E9,L1,47,89
N3,E9,L2,90,94
N4,E1,L1,83,93
N4,E1,L2,52,0
N4,E1,L1,85,95
N5,E1,L1,53,93
N5,E1,L1,53,93
N5,E1,L2,75,96
N6,E1,L1,73,96
N6,E1,L2,87,98
N7,E1,L2,83,98
N8,E1,L2,68,95
N9,E1,L2,75,98
N10,E1,L1,83,93
N10,E2,L1,91,92
N10,E3,L1,76,95
N10,E4,L1,75,90
N10,E5,L1,77,92
N10,E6,L1,60,78
N10,E6,L2,84,81
N10,E10,L1,68,96
N10,E10,L2,85,94
N11,E1,L1,91,92
N12,E1,L1,81,96
N12,E1,L1,88,96
N13,E1,L1,29,93
N13,E1,L2,82,96
N14,E1,L1,75,97
N14,E1,L2,83,98
N15,E11,L2,89,99
N15,E12,L2,88,99
N15,E13,L2,87,99
N15,E14,L2,85,99
N15,E21,L2,95,98
N15,E15,L2,72,96
N15,E16,L2,85,99
N15,E17,L2,86,99
N15,E18,L2,92,99
N16,E11,L2,88,99
N17,E11,L2,84,99
N18,E11,L2,91,99
N19,E11,L2,90,99
N20,E11,L2,89,99
N21,E11,L2,84,97
N22,E11,L2,87,96
N23,E11,L2,88,96
N24,E11,L2,93,96
N25,E11,L2,21,97
N26,E11,L2,82,99
N27,E11,L2,93,97
N28,E11,L2,95,99
N29,E11,L2,89,99
N30,E11,L2,88,98
N15,E19,L2,70,98
N15,E20,L2,54,99
